Kode Cabang Induk;Cabang Induk;NAMA PERUSAHAAN;ESTIMASI PEKERJA
354;KC Bandung A.H. Nasution      ;Biensi Fashionindo;1.500
354;KC Bandung A.H. Nasution      ;POLDA JABAR DIT SAMAPTA 642708;807
354;KC Bandung A.H. Nasution      ;BALAI BAHAN JALAN;58
354;KC Bandung A.H. Nasution      ;BALAI GEOTEKNIK, TEROWONGAN DAN STRUKTUR;75
354;KC Bandung A.H. Nasution      ;BALAI JEMBATAN KHUSUS DAN TEROWONGAN;49
354;KC Bandung A.H. Nasution      ;BALAI PELESTARIAN KEBUDAYAAN WILAYAH IX;95
354;KC Bandung A.H. Nasution      ;BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN BANDUNG;57
354;KC Bandung A.H. Nasution      ;BENGPUSPAL;302
354;KC Bandung A.H. Nasution      ;DIREKTORAT BINA TEKNIK JALAN DAN JEMBATAN;87
354;KC Bandung A.H. Nasution      ;DITJEN DIKTI (PTN BH - UNIVERSITAS PENDIDIKAN INDONESIA);1.553
354;KC Bandung A.H. Nasution      ;KANTOR PELAYANAN PERBENDAHARAAN NEGARA BANDUNG II;80
354;KC Bandung A.H. Nasution      ;LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA BANDUNG;88
354;KC Bandung A.H. Nasution      ;LEMBAGA PEMASYARAKATAN SUKAMISKIN;94
354;KC Bandung A.H. Nasution      ;LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDUNG PROPINSI JAWA BARAT;65
354;KC Bandung A.H. Nasution      ;P3K Pengadilan Militer II - 09 Bandung;10
354;KC Bandung A.H. Nasution      ;P3K Pengadilan Tinggi Agama Bandung;17
354;KC Bandung A.H. Nasution      ;PELAKSANAAN CIPTA KARYA WILAYAH II PROVINSI JAWA BARAT;40
354;KC Bandung A.H. Nasution      ;PELAKSANAAN JALAN NASIONAL WILAYAH II PROVINSI JABAR;35
354;KC Bandung A.H. Nasution      ;PENGADILAN MILITER  II - 09 DI BANDUNG;21
354;KC Bandung A.H. Nasution      ;PERENCANAAN DAN PENGAWASAN JALAN NASIONAL PROVINSI JABAR;35
354;KC Bandung A.H. Nasution      ;PT Gudang Garam;500
354;KC Bandung A.H. Nasution      ;PT JASA MARGA;231
354;KC Bandung A.H. Nasution      ;PT JASA RAHARJA;147
354;KC Bandung A.H. Nasution      ;Rimbun Air;100
354;KC Bandung A.H. Nasution      ;RUPBASAN;34
354;KC Bandung A.H. Nasution      ;UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG JATI BANDUNG;959
354;KC Bandung A.H. Nasution      ;UPI;350
354;KC Bandung A.H. Nasution      ;PT MKASS;55
354;KC Bandung A.H. Nasution      ;Balai PUPR;200
354;KC Bandung A.H. Nasution      ;PT SANGGAR JAYA ABADI;200
354;KC Bandung A.H. Nasution      ;Yayasan Krida Nusantara;500
